nct_id,title,phase,condition,endpoint_1,endpoint_2,endpoint_3
NCT00003470,Antineoplaston Therapy in Treating Patients With Anaplastic Astrocytoma,PHASE2,Anaplastic Astrocytoma,the effects (good and bad) that Antineoplaston therapy has on adults with anaplastic astrocytomas that have not responded to standard therapy,,
NCT00751270,Phase 1b Study of AdV-tk + Valacyclovir Combined With Radiation Therapy for Malignant Gliomas,PHASE1,Malignant Glioma,"the safety and feasibility of delivering an experimental approach called GliAtak which uses AdV-tk, an adenoviral vector containing the Herpes Simplex thymidine kinase gene, plus an oral anti-herpetic prodrug, valacyclovir, in combination with standard of care radiation",,
NCT00772083,Caring for Those Who Share: Improving the Health of Wisconsin Blood Donors,NA,Anemia,,,
NCT01403883,Psychological and Enterostomal Therapy Care,NA,Cancer of Rectum,"of the study was to assess the benefit of an optimal care, i","the benefit of an optimal care, i",
NCT04093141,Chemotherapy Followed by Irreversible Electroporation in Patients With Unresectable Locally Advanced Pancreatic Cancer,NA,Unresectable Pancreatic Cancer,of the study is to evaluate the efficacy of IRE in this patient group,the efficacy of IRE in this patient group,IRE in this patient group
NCT04410341,The DPP-4 Inhibitor Vildagliptin as Adjunct in Major Depressive Disorder Patients,PHASE1,Major Depressive Disorder,,,
NCT06949254,PRospective Observational Study of STereotactic Body rAdiation Therapy With Androgen Deprivation Therapy for Organ-confined High-risk Prostate Cancer: the PROSTAR Trial,,High Risk Prostate Cancer,of the study was to demonstrate that SBRT (42,the safety and efficacy of SBRT (40 Gy in 5 fractions every other day) coupled with ADT (relugolix 18-24 monthsaccording to clinical care) in patients with localized high-risk PCa,SBRT in combination with ADT for patients with unfavorable intermediate and high-risk PCa and will recruit 1182 patients who will be randomized to receive either hypofractionated RT (60 Gy in 20 fractions) or SBRT delivered with 36
NCT03530605,Use of Optune TTF With Radiation as an Alternative for Elderly Patients With Primary CNS Lymphoma,NA,"Central Nervous System Neoplasms, Primary",,,
NCT06225505,Early Detection of Triple Negative Breast Cancer Relapse,NA,Triple Negative Breast Cancer,the clinical utility of ctDNA monitoring combined with 68Ga-FAPI-46-PET-CT imaging upon ctDNA detection for the surveillance of patients with a non-metastatic TNBC at high risk of relapse,,
NCT05125354,A Retrospective Analysis to Evaluate Long Term Outcomes of SCC Patients Previously Treated With Alpha DaRT,,Squamous Cell Carcinoma,,,
NCT06066905,A Study of Chidamide With AZA in MRD Positive AML After Transplant,NA,"AML, Adult",,,
NCT02059850,NY-ESO-1 Specific T Cells After Cyclophosphamide in Treating Patients With Advanced Synovial Sarcoma or Myxoid/Round Cell Liposarcoma,PHASE1,Adult Synovial Sarcoma,,,
NCT02252250,Transanal Total Mesorectal Excision Versus Laparoscopic TME for Rectal Cancer,NA,Rectal Neoplasms,,,
NCT00028691,Chlorambucil Compared With Radiation Therapy in Treating Patients With Previously Untreated Stage III or Stage IV Follicular Lymphoma,PHASE3,Lymphoma,,,
NCT05876091,Effects of Tobacco Flavoring and Liquid Composition on Vaping Topography,NA,Tobacco-Related Carcinoma,,,
NCT06151574,Beamion LUNG-2: A Study to Test Whether Zongertinib (BI 1810631) Helps People With Advanced Non-small Cell Lung Cancer With HER2 Mutations Compared With Standard Treatment,PHASE3,"Lung Cancer, Non-squamous, Non-small Cell",,,
NCT03262818,Transvaginal Ultrasound and Photoacoustic Imaging of the Ovary,PHASE1,Oophorectomy,,,
NCT05413018,An Efficacy and Safety Study of Oral Azacitidine (CC-486) as Maintenance Therapy in Chinese Participants With Acute Myeloid Leukemia in Complete Remission,PHASE2,"Leukemia, Myeloid, Acute",the efficacy and safety of Oral Azacitidine (CC-486) in Chinese participants with acute myeloid leukemia in complete remission,,
NCT04036318,Evaluation of Presumptive Periodic Treatment (PPT) of Sexually Transmitted Infections (STIs),,"Sexually Transmitted Diseases, Bacterial",,,
NCT06133218,Patient Reported Outcomes Using Mepitel Film During Radiotherapy,NA,Radiodermatitis,of this study is patient-reported symptoms and patient-reported experiences with the prophylactic use of Mepitel Film compared to standard cream treatment,,
NCT06824818,Study to Assess the Feasibility of Stopping Prostate Cancer Treatment Early in Elderly Patients,NA,Elderly,,,
NCT00510718,A Phase 1 Study of MDV3100 in Patients With Castration-Resistant (Hormone-Refractory) Prostate Cancer,PHASE1,Prostate Cancer,,,
NCT00749697,Radioiodine Dosimetry Protocol for Thyroid Cancer Metastases,NA,Thyroid Carcinoma,,,
NCT01952210,Effectiveness of a Nutritional Consultation and Exercise Program in Esophageal Cancer Patient,NA,Esophageal Cancer,the effects of nutritional and exercise intervention in locally advanced esophageal cancer patients undergoing neoadjuvant chemoradiation,,
NCT03067610,Involved Field Elective Volume De-Intensification Radiation Therapy for Head and Neck Cancer,PHASE2,Head and Neck Cancer,,,
NCT00374660,Study of Irofulven in Combination With Oxaliplatin in Patients With Advanced Solid Tumors,PHASE1,Liver Cancer,"the maximum tolerated dose (MTD) and to investigate the efficacy, safety and pharmacokinetics of irofulven combined with oxaliplatin in patients with advanced solid tumors",,
NCT04607460,"EMG Biofeedback Treatment for Chronic Low Back Pain, Cancer Pain and Migraines",NA,Chronic Low-back Pain,of this study are to examine the impact of EMG-BF on pain and QST and the impact of EMG-BF on psychosocial function,,
NCT03242460,The Safety and Efficacy of Pomalidomide in Combination With Cyclophosphamide and Dexamethasone (PCD) in the Transplant-ineligible Patients With Relapsed and/or Refractory Multiple Myeloma (MM),PHASE2,Relapsed and/or refractorY Multiple Myeloma,,,
NCT04968860,Oral Health Condition and Quality of Life in Children With Leukemia,,"Leukemia, Lymphoblastic","To identify the clinical characteristics of the oral condition, types of microorganisms of the oral microbiota, and quality of life in children/adolescents with acute lymphoid leukemia and acute myeloid leukemia before and during antineoplastic treatment, and compare them with healthy children/adolescent individuals",,
NCT02827682,The Effect of IoC on Analgesia for Elderly Patients With Postoperative Effectiveness,NA,Colorectal Cancer,,,
NCT02934724,Impact of HPV Vaccine On The Prevalence Of HPV In Norway,,Cervical Intraepithelial Neoplasia,of the study is to assess the effect of school-based Human Papillomavirus (HPV) vaccination by comparing type-specific HPV prevalence between vaccinated and non-vaccinated women born in 1997,the effect of school-based Human Papillomavirus (HPV) vaccination by comparing type-specific HPV prevalence between vaccinated and non-vaccinated women born in 1997,
NCT05334823,A Study of pCAR-19B in the Treatment of CD19-positive Relapsed/Refractory B-ALL in Children and Adolescents,PHASE2,Acute Lymphoblastic Leukemia,the safety and efficacy of pCAR-19 B cell autologous infusion preparation in the treatment of CD19-positive relapsed/refractory B-cell acute lymphoblastic leukemia,pCAR-19 B cell autologous infusion preparation in the treatment of CD19-positive relapsed/refractory B-cell acute lymphoblastic leukemia,
NCT01135823,Symptom Assessment With Patient Surveys,,Carcinomas,,,
NCT00002823,Combination Chemotherapy Compared With No Treatment Following Surgery in Treating Patients With Non-small Cell Lung Cancer,PHASE3,Lung Cancer,,,
NCT05969223,Study to Assess the Safety and Efficacy of Subcutaneously Injected Risankizumab in Adult Participants With Genital or Scalp Psoriasis,PHASE4,Genital Psoriasis,how safe and effective risankizumab is in adult participants with moderate to severe genital psoriasis or moderate to severe scalp psoriasis,,
NCT05498623,MR Fingerprinting for Diagnostic of Prostate Cancer,,Prostate Cancer,is to conduct a clinical pilot study in which patients will be scanned using the newly refined MRF sequence in addition to the conventional scanning protocols,,
NCT05650723,Zanubrutinib and Venetoclax as Initial Therapy for Chronic Lymphocytic Leukemia (CLL) With Response-based Obinutuzumab,PHASE2,"Leukemia, Lymphocytic, Chronic, B-Cell",,,
NCT02724280,Linked Color Imaging to Differentiate H. Pylori Associated Gastritis and Gastric Atrophy,NA,Gastritis,,,
NCT04929080,The Safety and Efficacy of Multiple-dose of JS004 in Subject With HNC,PHASE1,Head and Neck Squamous Cell Carcinom,"the safety, tolerability, PK, immunogenicity, antitumor activity and biomarkers of JS004, define the RP2D",,
NCT02969096,Clinical Study of Targeted Cryoablation Therapy in the Treatment of Hepatic Carcinoma,PHASE2,Liver Neoplasms,the safety and efficacy of targeted cryoablation therapy for hepatic carcinoma,targeted cryoablation therapy for hepatic carcinoma,
NCT00839696,"Total Xenoestrogen Body Burden in Relation to Mammographic Density, a Marker of Breast Cancer Rlisk",,Breast Cancer Risk,,,
NCT05019196,fMRI Study of Functional Reorganization in Glioma Patients,,Glioma,,,
NCT00910546,Image Guided and Breathing Adapted Radiotherapy of Early Stage Lung Cancer,NA,Lung Cancer,,,
NCT00004262,Radiation Therapy and Gadolinium Texaphyrin in Treating Patients With Supratentorial Glioblastoma Multiforme,PHASE1,Adult Giant Cell Glioblastoma,,,
NCT00385788,Allogeneic Blood Stem Cell Transplantation and Adoptive Immunotherapy for Hodgkin's Disease,PHASE2,Hodgkin's Disease,,,
NCT02995603,Patient Experience and Acceptance of Horizontal Rotation,NA,Cancer,,,
NCT06668961,A Study of SI-B001+SI-B003 Combined With Platinum-based Chemotherapy as First-line Treatment in Patients With Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma,PHASE2,Head and Neck Squamous Cell Carcinoma,,,
NCT02845986,Study on Laparoscopic Spleen-Preserving No. 10 Lymph Node Dissection for Advanced Gastric Cancer,PHASE2,Stomach Neoplasms,,,
NCT01670786,Safety Profile of Iodopovidone as an Agent for Pleurodesis in Malignant Pleural Effusion,PHASE4,"Pleural Effusion, Malignant",,,
NCT01363986,A Study of Herceptin (Trastuzumab) in Combination With Whole Brain Radiotherapy in Patients With HER-2 Positive Breast Cancer,PHASE2,Breast Cancer,,,
NCT02179086,Dose-Escalated Photon IMRT or Proton Beam Radiation Therapy Versus Standard-Dose Radiation Therapy and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma,PHASE2,Glioblastoma,,,
NCT04285086,Ropeginterferon Alfa-2b (P1101) vs. Anagrelide in Essential Thrombocythemia Patients With Hydroxyurea Resistance or Intolerance,PHASE3,Essential Thrombocythemia,,,
NCT05537870,The Effectiveness of Nurse Navigators in Cancer Care,NA,Neoplasms,,,
NCT06746870,"A Phase II Clinical Study to Evaluate the Safety, Pharmacokinetic Profile, and Preliminary Efficacy of IMM2510 in Combination with Chemotherapy As First-line Treatment in Subjects with Non-small Cell Lung Cancer or Triple-negative Breast Cancer",PHASE2,NSCLC,the dose for the combination treatment,,
NCT06787170,Prediction of Platinum Resistance and Prognosis of High-grade Serous Ovarian Cancer,,High-grade Serous Ovarian Cancer (HGSOC),to perform habitat imaging on multi-functional MRI such as multi b-value DWI and DCE-MRI and to train WSI-based multi-instance learning to construct pathological signature,,
NCT02005770,Anesthesia and Circulating Tumor Cells in Breast Cancer,PHASE4,Female Breast Carcinoma,the effect of anesthesia on this tumor marker,,
NCT00537173,Predicting Response and Toxicity in Patients Receiving Paclitaxel and Avastin for Breast Cancer,,Breast Cancer,,,
NCT03194373,Phase II Trial Evaluating the Efficacy of Palbociclib in Combination With Carboplatin for the Treatment of Unresectable Recurrent or Metastatic Head and Neck Squamous Cell Carcinoma,PHASE2,Squamous Cell Carcinoma of the Head and Neck,,,
NCT05210283,CORRECT Study of Minimal Residual Disease Detection in Colorectal Cancer,,Colorectal Cancer,,,
NCT00091741,Safety and Efficacy Study of Etanercept (Enbrel) on the Response Rate of HIV-infected Subjects,PHASE1,HIV Infection,the safety and efficacy of etanercept (Enbrel) on the response rate in HIV-infected subjects who have failed to respond to conventional antiretroviral (HAART) therapy and for whom no alternative therapy exists,etanercept (Enbrel) on the response rate in HIV-infected subjects who have failed to respond to conventional antiretroviral (HAART) therapy and for whom no alternative therapy exists,
NCT01954641,Accountability for Cancer Care Through Undoing Racism and Equity,NA,Breast Cancer,,,
NCT01168505,Iron Supplement in the Prevention of Anemia in Female Breast Cancer Patients,PHASE2,Breast Cancer,the efficacy of intravenous iron supplementation in the prevention of anemia in patients receiving (neo)adjuvant breast cancer regimens,intravenous iron supplementation in the prevention of anemia in patients receiving (neo)adjuvant breast cancer regimens,
NCT02233205,Safety Study of Combining Ultrasound Microbubbles and Chemotherapy to Treat Malignant Neoplasms of Digestive System,PHASE1,Gastrointestinal Neoplasms,,,
NCT05969405,"Comparison of Prognosis in Endometrial Cancer Treated With Different Surgical Methods: Laparoscopy, Robotic-assisted Laparoscopy and Laparotomy",,Endometrial Cancer,"：To compare the clinical outcomes of endometrial cancer patients who received surgerical treatments: Comparisons of robotic-assisted laparoscopic, laparoscopic and laparotomic methods",,
NCT02734966,Efficacy and Safety Study of Magnesium Isoglycyrrhizinate Injection in Subjects With Acute Drug-induced Liver Injury,PHASE2,Drug-Induced Liver Injury,,,
NCT00014066,Photodynamic Therapy Plus Brachytherapy in Treating Patients With Lung Cancer,PHASE1,Lung Cancer,,,
NCT01309256,Multi-institutional Study on the Assessment of Robotic Surgery for Gastric Cancer,,Gastric Cancer,"of this study is to analyze the surgical outcomes of the robotic gastrectomy focusing on the learning curve, cost-effectiveness, quality of life, and acute-inflammatory reaction in comparison with laparoscopic gastrectomy",,
